躄	[tích] ① Khoèo cả hai chân gọi là tích 躄, khoèo một chân gọi là bả 跛 (có chỗ đọc là bí).
鬚	[tu] ① Râu: 留鬚 Để râu; ② Ria (mèo...); ③ Tua (vật có hình dáng tua tủa như râu): 蓮鬚 Tua bông sen; 蝦鬚 Râu tôm; 觸鬚 Râu sờ, tua cảm.
鬙	[tăng] (văn) ① Tóc rối; ② 【鬅鬙】Xem 鬅 nghĩa ②.
鬘	[man] (văn) (Tóc) mượt.
鬓	[mấn] Như 鬢
鬓	[mấn] Xem 鬢.
鬒	[chẩn] Tóc mượt đẹp: 昔有仍氏生女，鬒黑而其美 Ngày xưa họ Hữu Nhưng sinh ra con gái, tóc đen mượt mà đẹp lắm (Tả truyện); 鬒髮如雲 Tóc mượt đẹp như mây (Thi Kinh).
香	[hương] ① Thơm, hương: 香皂 Xà bông thơm; 這花眞香 Hoa này thơm quá; ② Thơm ngon, ngon: 今天飯菜眞香 Cơm canh hôm nay thơm ngon quá; 吃飯不香 Ăn không thấy ngon; 睡得正香 Đang ngủ ngon; ③ Hương (cây có mùi thơm), nhang (hương để đốt), đồ gia vị: 沉香 Hương trầm; 蚊香 Nhang muỗi; ④ Được khen, được hoan nghênh: 這種自行車在農村很吃香 Loại xe đạp này ở nông thôn rất được hoan nghênh; ⑤ [Xiang] (Họ) Hương.
馘	[quắc] (văn) Tính số quân địch bị giết dựa vào số tai đã cắt được.
馗	[quỳ] (văn) ① Con đường (thông tới chín ngả); ② [Kuí] Tên người: 鐘馗 Chung Quỳ (tên một đạo sĩ theo truyền thuyết, nổi tiếng về việc bắt ma quỷ).
飲	[ấm] Cho (gia súc hoặc người) uống: 飲馬 Cho ngựa uống nước; 飲之以酒 Cho uống rượu. Xem 飲 [yên].
飲	[ẩm] ① Uống: 飲茶 Uống trà; ② Đồ uống: 冷飲 Đồ uống lạnh, đồ giải khát; ③ Nuốt, ngậm, ôm: 飲恨 Nuốt hận, ôm hận. Xem 飲 [yìn].
飱	[san, sôn, tôn] Như 飧.
飰	[phạn] (văn) Như 飯.
風	[phóng, phúng] (văn) ① Báo tin, cho biết; ② Châm biếm (như 諷, bộ 言); ③ (Gió) thổi.
風	[phong] ① Gió: 刮風 Nổi gió; 海風 Gió biển; ② Hong khô, thổi, quạt (sạch): 風乾 Hong khô; 曬乾風淨 Phơi khô quạt sạch; 風雞 Gà khô; 風肉 Thịt khô; 風魚 Cá khô; ③ Cảnh tượng, quang cảnh, phong cảnh: 風光 Quang cảnh, phong cảnh; ④ Thái độ, phong cách, phong thái: 作風 Tác phong; 風度 Phong độ; ⑤ Phong tục, thói: 世風 Thói đời; 家風 Thói nhà; 伯夷之風 Thói quen của Bá Di (Mạnh tử); ⑥ Tiếng tăm; ⑦ Bệnh do gió và sự nhiễm nước gây ra: 中風 Trúng gió, bệnh cảm gió; ⑧ Tin tức: 聞風而至 Nghe tin ùa đến; 千萬別漏風 Đừng để tin lọt ra ngoài; ⑨ Tiếng đồn: 聞風 Nghe đồn; 風言風語 Tiếng đồn bậy bạ; ⑩ Trai gái phóng túng, lẳng lơ; ⑪ [Feng] (Họ) Phong.
颧	[quyền] Như 顴
颦	[tần] Như 顰
颥	[nhu] Như 顬
颤	[chiến, đản] Như 顫
颣	[lỗi] Như 纇
颢	[hạo, hiệu] Như 顥
颡	[tảng] Như 顙
颠	[điên] Như 顛
颟	[man] Như 顢
颞	[nhiếp] Như 顳
额	[ngạch] Như 額
颜	[nhan] Như 顏
颛	[chuyên] Như 顓
颚	[ngạc] Như 顎
颙	[ngung] Như 顒
题	[đề] Như 題
颗	[khỏa] Như 顆
颖	[dĩnh] Như 穎
颕	[dĩnh] Như 頴
颔	[hạm] Như 頷
颓	[đồi] Như 頹
颒	[hối] Như 頮
频	[tần] Như 頻
颐	[di] Như 頤
颏	[cai] Như 頦
颎	[quýnh] Như 熲
颍	[dĩnh] Như 潁
颌	[cáp, hạp] Như 頜
颋	[đĩnh] Như 頲
颊	[giáp] Như 頰
颉	[giáp, hiệt] Như 頡
颈	[cảnh] Như 頸
颇	[pha, phả] Như 頗
领	[lãnh, lĩnh] Như 領
颅	[lô] Như 顱
颃	[cang, hàng] Như 頏
颂	[tụng] Như 頌
颁	[ban] Như 頒
颀	[kì] Như 頎
顿	[đốn] Như 頓
顾	[cố] Như 顧
顽	[ngoan] Như 頑
顼	[húc] Như 頊
须	[tu] Như 鬚
须	[tu] Như 須
顺	[thuận] Như 順
项	[hạng] Như 項
顸	[han] Như 頇
顷	[khuynh, khoảnh] Như 頃
面	[miến] Như 麵
面	[diện] ① Mặt: 笑容滿面 Nét mặt tươi cười; ② Hướng về phía, ngoảnh về: 背山面水 Tựa núi hướng ra sông; 這所房子面南坐北 Ngôi nhà này cửa hướng về phía nam; ③ Mặt (vật thể): 地面 Mặt đất; 路面 Mặt đường; 桌面兒 Mặt bàn; 面兒磨得很光 Mặt mài bóng nhoáng; ④ Đích thân, trực tiếp: 面談 Nói chuyện (trực tiếp); 面交 Đích thân chuyển giao; ⑤ (Bề) mặt: 書面兒破了 Bề mặt cuốn sách rách rồi; 被面 Mặt chăn; ⑥ Mặt, diện: 正面 Mặt phải; 反面 Mặt trái; 片面 Phiến diện; ⑦ Phía, bên: 前面 Phía trước; 西面 Phía tây; 外面 Bên ngoài; ⑧ Cái, lá...: 一面鏡子 Một cái gương; 三面旗 子 Ba lá cờ. Xem 麵 [miàn].
靡	[mĩ] ① Vang dội, tràn lướt, đánh bạt, đánh tan, làm tiêu tan: 風靡一時 (Như) gió mạnh tràn lướt một thời, vang bóng một thời; 所向披靡 Đánh đâu được đấy, đánh bạt tất cả; 從風而靡 Lướt mạnh theo gió; ② (văn) Không: 靡日不思 Không ngày nào không nghĩ tới (Thi Kinh); 靡室靡家 Không cửa không nhà (Thi Kinh); ③ (văn) Không ai, không cái gì (dùng như 莫, bộ 艹): 靡虧大節 Không ai dám bỏ tiết lớn (Đại Việt sử kí toàn thư); ④ (văn) Nhỏ bé; ⑤ (văn) Tốt đẹp. Xem 靡 [mí].
靡	[mị] ① Lãng phí, xa xỉ: 浮靡 Xa xỉ; 奢靡 Phung phí; ② (văn) Nói dối, lừa phỉnh. Xem 靡 [mê].
靠	[kháo] ① Dựa vào, tựa vào, nương tựa, trông cậy, nhờ: 靠着墻站着 Đứng tựa vào tường; 依靠群衆 Dựa vào quần chúng; 靠天吃飯 Sống nhờ trời; ② Tin cậy: 可靠 Đáng tin, tin cậy được; ③ Sát lại, nhích gần, cặp bến, vào bờ: 行人靠邊走 Người bộ hành đi cặp theo lề đường; 船靠岸 Thuyền cặp bến.
非	[phi] ① Sai lầm, trái, sai trái, trái ngược, không đúng, không hợp lí: 明辨是非 Phân rõ phải trái; 爲非作歹 Làm càn làm bậy; 痛改前非 Quyết tâm sửa đổi những lầm lỗi trước kia; 文過飾非 Tìm cách bào chữa để che lấp lỗi lầm; 是非不亂，則國家治 Phải, trái không lộn xộn thì nước nhà yên ổn (Tuân tử); ② Không hợp, phi pháp: 非法 Không hợp pháp; 非禮 Không hợp lễ độ; ③ Phản đối, chê trách, huỷ báng: 非難 Trách móc; 非笑 Chê cười; 不可厚非 Không thể chê trách quá đáng; 莫不非令尹 Không ai là không chê trách quan lệnh doãn (quan huyện) (Lã thị Xuân thu); ④ Không, không phải, phi: 非會員 Không phải hội viên; 非無產階級的文學 Văn học phi vô sản; 非筆墨所能形容 Không bút mực nào tả hết được.【非常】phi thường [feicháng] a. Bất thường: 非常會議 Hội nghị bất thường; b. Hết sức, rất: 非常努力 Hết sức cố gắng;【非但】phi đãn [feidàn] Không những, không chỉ, chẳng những: 非但我不知道，連他也不知道 Chẳng những tôi không biết, ngay đến anh ấy cũng không biết nữa. Như 非徒;【非得】phi đắc [feidâi] Phải..., thế nào cũng phải...: 幹這活兒非得膽子大（不行） Làm nghề này phải to gan mới được; 【非獨】phi độc [feidú] (văn) Không những, không chỉ (thường dùng với 而且): 非獨無害，而且有益 Không những không có hại, mà còn có ích;【非...而何】phi... nhi hà [fei...érhé] (văn) Chẳng phải... là gì, chỉ có thể là: 國勝君亡，非禍而何？ Nước bị nước khác đánh thắng, vua phải chạy sang nước khác, chẳng phải hoạ là gì? (Tả truyện: Ai công nguyên niên);【非...非...】phi... phi... [fei...fei...] Không phải... cũng không phải, chẳng ra... cũng chẳng ra...: 非驢非馬 Không phải lừa, cũng không phải ngựa; 非親非故 Không phải bà con, cũng chẳng phải bè bạn; 【非...即...】 phi... tức... [fei... jí...] Không phải... thì..., nếu không... thì...: 非打即罵 Không đánh đập thì chửi mắng;【非特】phi đặc [feitè] (văn) Như 非徒;【非徒】phi đồ [feitú] (văn) Không những, không chỉ: 非徒無益，而又害之 Chẳng những vô ích, mà còn có hại nữa (Mạnh tử); 湯，武非徒能用其民也，又能用非己之民 Vua Thang vua Võ không chỉ biết dùng dân của mình, mà còn biết dùng dân không phải của mình nữa (Lã thị Xuân thu); ⑤ Không, không có, nếu không (dùng như 無, bộ 火 và 不, bộ 一): 非下苦功夫不可 Cần phải chịu khó mới được; 雖寳非用 Tuy có quý nhưng không dùng được (Tả Tư: Tam Đô phú tự); 文非山水無奇氣 Văn chương mà không (nếu không) có cảnh núi sông thì không có khí kì lạ (Trần Bích San: Quá Vân Sơn); 不行，我非去不可 Không, tôi không thể không đi; ⑥ [Fei] Châu Phi.
靝	[thiên] Trời (từ dùng của các đạo sĩ, tương đương với 天, bộ 大).
青	[thanh] ① Xanh: 青山綠水 Nước biếc non xanh; ② Cỏ hoặc hoa màu còn xanh: 踏青 Đạp lên cỏ xanh, đạp thanh (đi tảo mộ trong tiết thanh minh); 青苗 Lúa còn non; 看青 Trông lúa, trông đồng; ③ Sống (chưa chín): 橘子還青呢 Quýt hãy còn sống (còn xanh, chưa chín); ④ Thanh niên, tuổi trẻ, trẻ: 共青團 Đoàn thanh niên cộng sản; 年青 Trẻ, trẻ tuổi; ⑤ (văn) Vỏ tre, thẻ tre (thời xưa dùng để khắc chữ): 殺青 Thẻ tre để viết chữ; 汗青 Vỏ tre đã hơ lửa cho tươm mồ hôi và khô đi (để dễ khắc chữ); 青史 Sử xanh, sử sách (thời xưa khắc vào thẻ tre xanh); ⑥ Lòng trắng trứng: 蛋青 Lòng trắng trứng; ⑦ [Qing] Tỉnh Thanh Hải hoặc Thanh Đảo (gọi tắt); ⑧ [Qing] (Họ) Thanh.
靉	[ái] 【靉靆】ái đãi [àidài] ① Mây mù mịt; ② (Một loại) kính (đeo mắt); ③ Tối tăm, mù mịt.
靈	[linh] ① Nhanh nhẹn, linh hoạt, lanh lẹ, tinh, thính: 心靈手巧 Khéo tay nhanh trí; 耳朵很靈 Tai rất thính; ② Tâm thần, linh hồn: 心靈 Tâm thần; 英靈 Anh linh; ③ (cũ) Linh thiêng, thiêng liêng: 神靈 Thần linh; 靈怪 Thiêng quái; ④ Kì diệu, thần kì; ⑤ Thần linh, thần, yêu tinh: 山靈 Các thần (trong núi); ⑥ Hiệu nghiệm, ứng nghiệm, kết quả: 靈藥 Thuốc hiệu nghiệm; 這個法子很靈 Làm theo cách này rất có kết quả; ⑦ Linh cữu, quan tài: 守靈 Túc trực bên linh cữu; 移靈 Dời linh cữu; 靈前擺滿了花圈 Vòng hoa đặt đầy trước linh cữu; ⑧ [Líng] (Họ) Linh.
靆	[đãi] Xem 靉靆.
靄	[ái] (văn) ① Mây, sương mù; ② Ngùn ngụt; ③ [Ăi] (Họ) Ái.
靁	[lôi] Như 雷.
霾	[mại] (kht) ① Trời mù (do sương, khói, bụi): 他在一個陰霾 的日子離去 Anh ấy ra đi trong một ngày u ám; ② Mưa bụi, bụi mù (khi có gió thổi).
霽	[tế] (văn) ① Trời hửng; ② Tạnh mưa, ngớt tuyết: 雨後初霽 Trời vừa tạnh mưa; 雪霽 Ngớt tuyết; ③ Nguôi giận: 氣平怒霽 Cơn giận đã nguôi; 霽威 Tan hết cơn giận, nguôi giận.
霹	[phích] Sét đánh thình lình, sét. 【霹靂】phích lịch [pilì] Sét đánh thình lình, tiếng sét bất ngờ: 晴天霹靂 Sét đánh ngang tai; 他的死訊像一聲霹靂傳來 Tin anh ấy chết khác nào tiếng sét thình lình truyền tới.
霸	[phách] Mặt trăng (ánh trăng) thấy lần đầu trong tháng (dùng như 魄, bộ 鬼): 惟四月哉生霸 Chỉ tháng tư mới bắt đầu có ánh sáng trăng lần đầu trong tháng (Hán thư: Luật lịch chí, hạ) (哉 = 始).
霸	[bá] ① Trùm (các nước chư hầu), bá chủ, minh chủ: 稱霸世界 Làm bá chủ thế giới; 此五霸之伐也！ Đó là công nghiệp hệt như ngũ bá! (Sử kí); 誠如是則霸業可成 Nếu thật như thế thì nghiệp bá có thể thành được (Gia Cát Lượng: Thảo lư đối); ② Cường hào, (ác) bá (kẻ ỷ cậy quyền thế bức hiếp dân chúng): 惡霸 Ác bá; ③ Chiếm đoạt, chiếm cứ, chiếm đóng.
霶	[bàng] 【霶霈】bàng bái [pangpèi] (văn) Mưa như trút nước, mưa xối xả, mưa tầm tã.
霓	[nghê] Cầu vồng.
霑	[triêm] Xem 沾 (bộ 氵).
霏	[phi] Lả tả: 雨雪其霏 Tuyết rơi lả tả (Thi Kinh). 【霏霏】phi phi [feifei] (văn) Tới tấp, tầm tã: 雨雪霏霏 Mưa tuyết tới tấp; 若 夫霪雨霏霏，連月不開 Đến như những lúc mưa dầm tầm tã, suốt tháng không tạnh (Phạm Trọng Yêm: Nhạc Dương lâu kí).
霎	[sáp] ① Mưa lâm râm, mưa nhỏ; ② (văn) (Tiếng mưa) tí tách; ③ Chớp nhoáng: 霎時 Chốc lát, trong chớp mắt; 一霎時 Chớp một cái.
霍	[hoắc] ① Bỗng, chợt, vụt, ngay.【霍然】hoắc nhiên [huò rán] a. Bỗng nhiên, đột nhiên: 手電筒霍然一亮 Đèn pin bỗng nhiên lóe sáng; b. (văn) (Khỏi bệnh) ngay: 數日之後，定當霍然 Vài ngày sau, ắt sẽ khỏi bệnh ngay; 霍然病已 Bệnh khỏi ngay; ② (văn) Phương nam; ③【霍霍】 hoắc hoắc [huòhuò] a. Ken két, soèn soẹt: 磨刀霍霍 Mài dao soèn soẹt; b. Chớp, chớp sáng, nhấp nhoáng: 電光霍霍 Ánh điện chớp sáng; ④ [Huò] (Họ) Hoắc.
霉	[mi] Như 黴
霉	[môi] Mốc, meo, nấm mốc: 發霉 Mốc meo, lên mốc.
霈	[bái] (văn) ① Mưa lớn, mưa rào, mưa như trút, mưa tầm tã; ② Ân huệ.
震	[chấn] ① Rung động, chấn động: 把玻璃震¸H了 Kính bị rung vỡ rồi; 地震 Động đất; 地震學 Địa chấn học; ② Inh, vang: 震耳 Inh tai; 名震全球 Tiếng vang khắp thế giới; ③ Hoảng, hoảng sợ, sợ hãi: 敵人大震 Kẻ địch rất hoảng sợ; ④ Kích động, chạm mạnh; ⑤ (văn) Sét đánh, sấm động; ⑥ Quẻ Chấn (trong Bát quái).
霆	[đình] Sấm sét: 雷霆 Sấm sét; 如霆如雷 Như sét như sấm (Thi Kinh); 蒲藤之霆驅電掣 Trận Bồ Đằng sấm vang sét dậy (Bình Ngô đại cáo).
霅	[tráp] ① (văn) Rơi đổ xuống: 霅爾雹落 Mưa đá trút xuống; ② (văn) Nhiều lời; ③ 【霅霅】tráp tráp [zhàzhà] (văn) Chớp nhoáng, như sấm chớp; ④ 【霅溪】Tráp Khê [Zhàqi] Tên sông (ở huyện Ngô Hưng, tỉnh Chiết Giang, Trung Quốc).
霅	[sáp] (văn) ① Bỗng, chợt, thình lình; ② Nhanh chóng; ③ Từ tượng thanh.
霄	[tiêu] ① Khoảng trời không, trời: 高入雲霄 Cao đến tận trời; 九重霄 Chín tầng trời; ② (văn) Đêm (dùng như 宵, bộ 宀); ③ (văn) Mây hoặc sương mù; ④ (văn) Vừng hơi bên mặt trời; ⑤ (văn) Làm tan, làm cạn.
霂	[mộc] (văn) Mưa phùn.
霁	[tế] Như 霽
需	[nhu] ①Nhu cầu, sự cần dùng, sự cần thiết: 按需分配 Phân phối theo nhu cầu; ② Cần: 他需款甚殷 Nó rất cần tiền; ③ (văn) Lần lữa, trì hoãn, do dự: 需，事之賊也 Lần lữa là cái hại cho công việc (Tả truyện); ④ (văn) Đợi: 相需 Đợi nhau.
需	[nhuyễn] (văn) Như 軟 (bộ 車).
需	[noạ] (văn) Như 懦 (bộ 忄).
雾	[vụ] Như 霧
電	[điện] ① Điện: 這鐵絲網有電 Dây thép gai này có điện; ② Bị điện giật: 觸電 Điện giật; ③ Điện tín, điện báo, bức điện (nói tắt): 賀電 Điện mừng; 急電 Điện khẩn; ④ Đánh điện, gởi điện: 電复 Đánh điện trả lời; 電賀 Gởi điện mừng; ⑤ (văn) Soi tỏ: 呈電 Trình để xem xét; ⑥ (văn) Nhanh như chớp: 風馳電掣 Nhanh như gió thổi chớp giật.
雺	[vụ] (văn) Như 霧.
雹	[bạc] Mưa đá.
雷	[lôi] ① Sấm: 打雷 Sấm nổ, sấm dậy.【雷電】lôi điện [léi diàn] Sấm sét; ② Mìn, vũ khí nổ, lôi: 地雷 Mìn; 水雷 Thuỷ lôi; 布雷 Cài (đặt, chôn, thả, rải) mìn; 掃雷 Quét mìn; ③ [Léi] (Họ) Lôi.
零	[linh] ① Lẻ tẻ, lặt vặt: 零食 Ăn vặt, quà vặt; 零用 Tiêu vặt; 零售 Bán lẻ; 化整爲零 Đổi nguyên ra lẻ; ② Số lẻ, dôi ra, ngoài: 年紀已經八十有零 Tuổi tác đã ngoài tám mươi; 人數是四十挂零兒 Hơn bốn mươi người; ③ (Số) lẻ: 一年零三天 Một năm lẻ ba ngày; 三年零一季 Ba năm lẻ một quý; ④ Số không (0): 四零五號 Số 405; 二減 二等于零 2-2=0 (hai trừ hai bằng không). Cv. ○; ⑤ Độ 0 trên nhiệt kế: 零上五度 Năm độ trên độ không; 零下十度 Mười độ dưới độ không; ⑥ Rơi rụng, tàn tạ: 零落 Rơi rụng; 凋零 Tàn tạ; ⑦ (văn) Mưa lác đác, mưa rây; ⑧ (văn) Rơi xuống: 靈雨既零 Mưa lành đã rơi xuống (Thi Kinh); ⑨ [Líng] (Họ) Linh.
雪	[tuyết] ① Tuyết; ② Trắng như tuyết, đầy tuyết; ③ Kem lạnh; ④ Rửa, trả thù: 雪恥 Rửa nhục; ⑤ (văn) Lau sạch.
雩	[vu] (văn) Tế cầu mưa.
雨	[vũ] Mưa: 天雨 Trời mưa xuống; 暴風雨 Mưa bão. Xem 雨 [yù].
雥	[tập] (văn) Như 集.
難	[nạn] ① Tai hoạ, tai nạn, tai ương: 逃難 Chạy nạn; 落難 Mắc nạn; 避難 Lánh nạn; 遭難 Gặp nạn; ② Trách, khiển trách, vặn vẹo, làm khó, vấn nạn: 事事非難 Trách móc đủ điều; 不必責難他 Không nên khiển trách anh ấy; 問難 Hỏi vặn lẽ khó khăn, vấn nạn.
難	[nan] ① Khó khăn: 難治的病 Chứng bệnh khó chữa; 山路很難走 Đường núi rất khó đi; ② Làm cho bó tay: 這問題難住了我 Vấn đề này làm tôi phải bó tay; ③ Khó thể, không thể. 【難道】 nan đạo [nándào] Chẳng lẽ, lẽ nào, há (dùng như 豈, bộ 豆): 難道你不知道嗎？ Chẳng lẽ anh không biết hay sao?; 難道你忘了自己的諾言嗎？Lẽ nào anh lại quên mất lời hứa của mình?; 難道不是這樣麼？ Há chẳng phải như thế sao?; 【難怪】nan quái [nánguài] Chẳng trách, chả trách, thảo nào, hèn chi: 難怪人家生氣 Hèn chi người ta phải cáu; 難怪找到人，都開會去了 Đều đi họp cả, thảo nào không tìm thấy ai; 他不大了解情況，搞錯了也難怪 Không hiểu tình hình mấy, chả trách anh ta làm sai; 【難免】 nan miễn [nánmiăn] Khó tránh, không tránh khỏi: 犯錯誤是難免的 Mắc sai lầm là chuyện khó tránh; 有罔難免帶片面性 Đôi khi không tránh khỏi phiến diện; 【難以】nan dĩ [nányê] Khó mà: 難以想象 Khó mà tưởng tượng; 難以逆料 Khó mà đoán trước được; 難以置信 Khó mà tin được; ④ Khó chịu, đáng ghét.
離	[li] ① Xa cách, lìa tan, chia li: 離婚 Li dị; 悲歡離合 Nỗi vui buồn sum họp với chia li; 她從來沒離過家 Chị ta chưa bao giờ xa nhà; ② (Khoảng) cách: 車 站離這裡三里地 Nhà ga cách đây ba dặm; 離國慶節只有三天了 Chỉ còn ba hôm nữa là đến ngày Quốc khánh; 月球與地球距離甚遠 Mặt trăng và mặt trời cách nhau rất xa; ③ Thiếu: 發展工業離不了鋼鐵 Phát triển công nghiệp, không thể thiếu gang thép; ④ (văn) Dính, bám: 不離于裏 Không dính bám với lần trong (Thi Kinh); ⑤ (văn) Không tuân theo, làm trái: 離令 Làm trái mệnh lệnh; ⑥ (văn) Mắc vào, rơi vào, gặp, bị (dùng như 罹, bộ 网): 獨離此咎 Một mình mắc vào tai hoạ này (Giả Nghị: Điếu Khuất Nguyên phú); ⑦ (văn) (Hai người) cùng sánh nhau, sánh đều nhau; ⑧ (văn) Sáng chói, rực rỡ; ⑨ (văn) Bày, xếp; ⑩ (văn) Trải qua: 離一二旬 Trải qua một, hai mươi ngày (Hán thư); ⑪ (văn) Chim vàng anh; ⑫ Quẻ li (trong Kinh Dịch); ⑬ [Lí] (Họ) Li.
雠	[thù] Như 讐
雠	[thù] Như 讎
雝	[ung] Như 雍.
雜	[tạp] ① Tạp (nhạp), nhiều thứ nhiều loại, các thứ, lặt vặt, linh tinh: 雜色 Tạp sắc; 雜事 Việc vặt, việc linh tinh; 雜貨 Hàng hoá các loại, tạp hoá; 雜花 Đủ các loại hoa, hoa các loại; ② Lẫn lộn, táp nham: 夾雜 Lẫn lộn; ③ (văn) Pha trộn (phối hợp) các màu sắc: 畫繢之事雜五色 Việc hội hoạ phối hợp năm màu (Khảo công kí: Hoạ hội); ④ (văn) Hỗn hợp, trộn lẫn lại: 故先王以土與金，木，水，火雜，以成百物 Cho nên các bậc tiên vương lấy thổ và kim, mộc, thuỷ, hoả trộn lại, để thành ra trăm vật (Quốc ngữ: Trịnh ngữ); ⑤ Vai trong kịch để sai vặt làm đủ thứ việc; ⑥ (văn) Đều, cùng, chung: 雜曰... Đều nói...; 雜處 Ở chung; 其事是以不成，雜受其刑 Việc đó vì thế không thành, đều chịu hình phạt của ông ta (Quốc ngữ).【雜然】tạp nhiên [zárán] (văn) Đều, cùng.
雛	[sồ] ① Chim non, gà con, vịt con...: 雛雞 Gà con; ② Dê con; ③ Đứa bé con.
雙	[song] ① Một đôi: 一雙鞋 Một đôi giầy; 雙方同意 Hai bên đã thoả thuận; ② Số chẵn: 雙數 Con số chẵn; ③ Gấp đôi: 雙份兒 Hai phần.
雙	[song] Xem 雙 (bộ 隹).
雘	[hoạch] Như 雘 (bộ 艹).
雘	[hoạch] (văn) Một loại phẩm màu đỏ.
雖	[tuy] ① Dù, mặc dù, dù rằng, dù có, cho dù (đi nữa), tuy, tuy rằng: 工作雖忙，可是學習決不能放鬆 Công việc tuy bận, nhưng quyết không nên lơ là học tập; 果能此道矣，雖愚必明，雖柔必強 Nếu làm được đạo đó, thì dù ngu ắt cũng sáng ra, dù yếu ắt cũng mạnh lên (Trung dung). 【雖復】 tuy phục [suifù] (văn) Cho dù, mặc dù, dù rằng: 雖復千年一聖，終是百世同宗 Cho dù một ngàn năm mới có một bậc thánh, thì cuối cùng trăm đời về trước vẫn là đồng tộc (Dữu Tử Sơn tập); 【雖然】 tuy nhiên [suirán] Tuy, tuy rằng, tuy vậy, cho dù như thế, dù thế: 諸侯之禮，吾未之學也，雖然，吾嘗聞之矣 Lễ nghi của chư hầu ta chưa học, tuy vậy ta đã từng nghe nói (Mạnh tử); 【雖說】tuy thuyết [suishuo] (khn) Tuy nhiên, tuy vậy, thế nhưng; 【雖則】tuy tắc [suizé] Như 雖然; ② Con tuy (loài bò sát giống như con thằn lằn); ③ (văn) Xô, đẩy (dùng như 推, bộ 扌); ④ (văn) Chỉ (dùng như 惟, bộ 忄): 女雖湛樂從 Ngươi chỉ biết có vui chơi phóng túng (Thi Kinh: Đại nhã, Ức); ⑤ (văn) Há (dùng như 豈, bộ 豆, biểu thị sự phản vấn): 雖無予之，路車疾馬？ Há chẳng cho ngươi xe loại chư hầu đi và xe tứ mã? (Thi Kinh).
雕	[điêu] ① Con diều hâu; ② Chạm, khắc.
雒	[lạc] ① (văn) Ngựa đen có bờm trắng; ② (văn) Con cú; ③ (văn) Quấn (dùng như 絡, bộ 系); ④ [Luò] Sông Lạc; ⑤ [Luò] (Họ) Lạc.
雏	[sồ] Như 雛
雍	[ung] ① (văn) Hài hoà, hoà (như 雝): 雍睦 Hoà mục; ② (văn) Ngăn chặn, cản trở; ③ [Yong] Châu Ung (một trong 9 châu của Trung Quốc thời xưa, nay thuộc vùng Thiểm Tây, Cam Túc, Thanh Hải); ④ [Yong] (Họ) Ung.
雌	[thư] ① (Giống) cái, mái: 雌兔 Thỏ cái; 雌雞 Gà mái; ② (văn) Mềm yếu, yếu ớt; ③ (văn) Bị đánh bại; ④ (văn) Trách mắng; ⑤ (văn) Nhe ra (răng...) (dùng như 齜, bộ 齒).
雋	[tuấn] Như 俊 (bộ 亻), và úK (bộ 亻).
雋	[tuyến] ① Thịt béo; ② (văn) Đầy ý nghĩa, có ý nghĩa.【雋永】tuyến vĩnh [juàn yông] (văn) Sâu xa, tế nhị, thấm thía sâu xa (về lời nói hay câu văn): 意味雋永 Ý nghĩa sâu xa; ③ [Juàn] (Họ) Tuyến. Xem 雋 [jùn].
雊	[cẩu] (văn) Tiếng chim trĩ trống kêu.
雇	[cố] ① Mướn, thuê: 雇保姆 Mướn vú em (trông trẻ); 這家公司雇用了五十個人 Công ti này đã thuê 50 người làm; ②Đi mướn (thuê): 雇車 Thuê xe.
雇	[cố] Như 僱
集	[tập] ① Tập hợp, tụ tập, gom góp, góp lại: 集會 Họp mít tinh, cuộc mít tinh; 集中 Tập trung; 集款 Khoản góp lại; 集股 Góp cổ phần; ② Chợ, chợ phiên: 趕集 Đi chợ; 集市 Chợ phiên; 這個東西集上買的 Cái này mua ở chợ; ③ Tập: 詩集 Tập thơ; 影集 Tập ảnh; 選集 Tuyển tập; 全集 Toàn tập; ④ (loại) Tập (chỉ từng quyển sách một): 上下兩集 Tập trên và tập dưới; 第二集 Tập II; ⑤ (văn) (Chim) đậu: 黃鳥于飛，集于灌 木Hoàng điểu bay bay, đậu trên bụi cây (Thi Kinh); ⑥ (văn) Nên, xong: 集事 Việc đã làm xong; ⑦ (văn) Đều.
雅	[nhã] ① Nhã (nhặn), thanh nhã, đẹp đẽ, cao thượng: 文雅 Nho nhã, lịch sự; ② Nhã ý; ③ Xưa nay, vốn thường: 雅善琴詩 Xưa nay (vốn thường) giỏi về đánh đàn và làm thơ; 一日之雅 Vốn thường có một ngày cùng thân gần nhau; 雍齒雅不慾屬沛公 Ung Xỉ vốn không muốn thuộc về Bái Công (Sử kí: Cao tổ bản kỉ); ④ (văn) Thường: 子所雅言 Lời Khổng Tử thường nói (Luận ngữ); ⑤ (văn) Chính: 大雅 Đại nhã (trong Kinh Thi); 小雅 Tiểu nhã (trong Kinh Thi); ⑥ (văn) Rất, lắm: 婦，趙女也，雅善鼓瑟 Vợ là con nhà họ Triệu, rất giỏi đánh đàn sắt (Hán thư: Dương Uẩn truyện); ⑦ (văn) Tên sách: 爾雅 Nhĩ nhã; 黃雅 Quảng nhã; ⑧ Một loại âm nhạc xưa (dùng trong chốn triều đình).
