A	As
trinkbar	trinkbarem|trinkbaren|trinkbarer|trinkbares|trinkbare
trinken	trinke|tranken|trinkt|trinket|trankst|tränkest|trinkend|trank|getrunken|tränke|trinkest|trankt|tränket|trink|tränken|trinkst
Trinker	Trinkern|Trinkers
trinkfest	trinkfeste|trinkfestem|trinkfestes|trinkfesten|trinkfester
Trinkspruch	Trinkspruche|Trinksprüche|Trinksprüchen|Trinkspruchs|Trinkspruches
Trip	Trips
trippeln	trippelt|trippelten|trippelnd|trippelst|trippel|trippeltest|tripplet|tripple|tripplest|trippelest|trippelet|trippeltet|trippele|trippelte|getrippelt
Tritt	Tritten|Trittes|Tritte|Tritts
triumphieren	triumphierend|triumphier|triumphierst|triumphiert|triumphierten|triumphierte|triumphierest|triumphieret|triumphiertest|triumphiere|triumphiertet
trocken	trockenem|trockenen|trockener|trockene|trockenes
Trockeneis	Trockeneises|Trockeneise
Trockenschrank	Trockenschrankes|Trockenschranks|Trockenschränken|Trockenschränke|Trockenschranke
Trocknen	Trocknens
trocknen	trocknetet|trockneten|trocknetest|trockne|trocknete|getrocknet|trocknend|trocknet|trocknest
Trommel	Trommeln
Trommelfell	Trommelfellen|Trommelfelle|Trommelfelles|Trommelfells
Trommelfeuer	Trommelfeuers|Trommelfeuern
trommeln	trommelnd|trommele|trommle|trommelten|trommel|trommlet|trommelet|trommlest|trommelest|trommeltest|trommelt|trommelte|getrommelt|trommeltet|trommelst
Trompete	Trompeten
trompeten	trompete|trompetest|trompetetest|trompeteten|getrompetet|trompetet|trompetend|trompetetet|trompetete
Tropfen	Tropfens
tropfen	tropfst|tropft|tropfest|tropfet|tropfte|tropftest|tropfe|tropfend|tropf|tropften|getropft|tropftet
Trophäe	Trophäen
tropisch	tropischen|tropischer|tropisches|tropische|tropischem
Trosse	Trossen
trostlos	trostlose|trostlosen|trostlosem|trostloser|trostloses
Trott	Trotte|Trotts|Trottes|Trotten
Trottel	Trottels|Trotteln
trotten	trottetest|trottend|trotteten|trottete|trotte|trottest|getrottet|trottetet|trottet
Trotz	Trotze|Trotzes
trotzen	trotztest|trotzest|trotze|trotztet|trotzten|trotz|getrotzt|trotzet|trotzte|trotzend|trotzt
trotzig	trotzige|trotziger|trotzigen|trotzigem|trotziges
Trudeln	Trudelns
trudeln	trudelet|trudelt|trudelnd|trudel|trudelst|trudlet|trudeltest|trudlest|trudele|trudle|trudeltet|getrudelt|trudelte|trudelten|trudelest
Trugbild	Trugbilder|Trugbildern|Trugbildes|Trugbilde|Trugbilds
Trumpf	Trümpfen|Trumpfe|Trümpfe|Trumpfes|Trumpfs
Trunk	Trünken|Trünke|Trunkes|Trunke|Trunks
trunken	trunkene|trunkenen|trunkenes|trunkenem|trunkener
Trunkenheit	Trunkenheiten
trunksüchtig	trunksüchtige|trunksüchtiger|trunksüchtigen|trunksüchtigem|trunksüchtiges
Trupp	Trupps
Truppe	Truppen
träge	träges|trägem|trägen|träger
Träger	Trägern|Trägers
Trägerwelle	Trägerwellen
Trägheit	Trägheiten
trällern	träller|trällerten|trällertest|trällerest|trällerte|trällre|geträllert|trällernd|trällere|trällrest|trälleret|trällertet|trällert|trällerst|trällret
Träne	Tränen
tränen	trän|tränest|tränt|tränten|träntest|tränst|tränend|getränt|tränet|träntet|träne|tränte
Tränendrüse	Tränendrüsen
tränenreich	tränenreiche|tränenreicher|tränenreichen|tränenreiches|tränenreichem
Tränken	Tränkens
tränken	tränktet|tränkend|tränkte|tränkest|tränk|tränke|tränket|getränkt|tränktest|tränkt|tränkst|tränkten
träufeln	träuflest|träufelnd|träufel|träufelet|träufelt|geträufelt|träufele|träufelten|träuflet|träufeltet|träufeltest|träufelst|träufelte|träufle|träufelest
träumen	träumend|träumten|träumest|träumst|träumte|träum|träume|träumtest|träumtet|träumt|geträumt|träumet
Träumer	Träumers|Träumern
Träumerei	Träumereien
trödeln	trödelest|trödeltet|trödelet|trödelte|trödelt|trödelst|trödlet|getrödelt|trödeltest|trödle|trödel|trödlest|trödelten|trödelnd|trödele
tröpfeln	tröpfele|tröpfelte|tröpfle|tröpfelst|getröpfelt|tröpfeltest|tröpflest|tröpfel|tröpflet|tröpfeltet|tröpfelten|tröpfelt|tröpfelet|tröpfelest|tröpfelnd
trösten	tröstend|tröste|tröstete|trösteten|tröstetet|tröstet|tröstest|getröstet|tröstetest
tröstlich	tröstlichen|tröstliche|tröstlicher|tröstlichem|tröstliches
trüb	trübem|trüben|trübes|trüber|trübe
trüben	trübend|trübet|trübtet|trübst|trübest|trüb|trübte|trübten|getrübt|trübt|trübe|trübtest
Trübsinn	Trübsinne|Trübsinns|Trübsinnes
trübsinnig	trübsinnigem|trübsinnige|trübsinniger|trübsinnigen|trübsinniges
trügerisch	trügerischem|trügerisches|trügerischer|trügerischen|trügerische
Tschako	Tschakos
Tsunami	Tsunamis
Tugend	Tugenden
tugendhaft	tugendhaftes|tugendhafter|tugendhafte|tugendhaftem|tugendhaften
tummeln	tummelest|tummelte|tummelst|tummel|tummle|getummelt|tummelnd|tummelten|tummeltest|tummele|tummlest|tummeltet|tummelt|tummelet|tummlet
Tunesier	Tunesiers|Tunesiern
tunken	tunk|tunkest|tunke|getunkt|tunkte|tunkend|tunket|tunktet|tunkten|tunkt|tunktest|tunkst
tunlich	tunliche|tunlichen|tunliches|tunlichem|tunlicher
Tunnel	Tunnels|Tunneln
Tupfen	Tupfens
tupfen	getupft|tupfend|tupfst|tupft|tupfest|tupfe|tupftet|tupften|tupftest|tupf|tupfet|tupfte
Turbine	Turbinen
Turm	Türmen|Turms|Türme|Turmes|Turme
Turnen	Turnens
turnen	turnten|turnte|turntet|turn|turnt|turnet|turnst|turnend|turnest|turntest|geturnt|turne
Turnhalle	Turnhallen
Turnus	Turnussen|Turnusse
Turnübung	Turnübungen
Tusch	Tuschen|Tusches|Tusche|Tuschs
Tusche	Tuschen
typisch	typische|typischer|typischem|typisches|typischen
Tyrann	Tyrannen
tyrannisch	tyrannische|tyrannischem|tyrannischen|tyrannisches|tyrannischer
tyrannisieren	tyrannisiert|tyrannisiere|tyrannisierest|tyrannisierend|tyrannisierten|tyrannisier|tyrannisieret|tyrannisierte|tyrannisiertest|tyrannisiertet|tyrannisierst
tändeln	tändlet|tändelten|tändlest|tändelet|tändelt|tändelte|tändelnd|tändelest|tändeltet|tändelst|tändel|getändelt|tändle|tändele|tändeltest
Tänzer	Tänzern|Tänzers
Täter	Tätern|Täters
Tätigkeit	Tätigkeiten
tätowieren	tätowierte|tätowierten|tätowierst|tätowieret|tätowier|tätowiere|tätowiertest|tätowiert|tätowierend|tätowiertet|tätowierest
tätscheln	tätschelst|tätschelt|tätschelnd|tätschelet|tätschlet|tätschele|tätscheltest|tätschle|getätschelt|tätscheltet|tätschelte|tätschel|tätschelten|tätschelest|tätschlest
Täufer	Täufern|Täufers
täuschen	täuschtest|täuschten|täuschte|täuschtet|getäuscht|täuschest|täuschet|täusche|täusch|täuscht|täuschst|täuschend
Täuschung	Täuschungen
tödlich	tödlichen|tödliches|tödlichem|tödlicher|tödliche
Tölpel	Tölpeln|Tölpels
tölpelhaft	tölpelhaftem|tölpelhafter|tölpelhaftes|tölpelhafte|tölpelhaften
Tönen	Tönens
tönen	töntest|tönest|tönt|tönet|tönte|töntet|tön|tönst|getönt|töne|tönten|tönend
Töpfer	Töpfern|Töpfers
töten	töte|tötete|töteten|tötest|tötend|getötet|tötet|tötetest|tötetet
Tüchtigkeit	Tüchtigkeiten
Tücke	Tücken
tüfteln	tüftelnd|tüftele|tüftelt|tüftlest|tüftelet|tüftelten|tüfteltest|tüftel|tüftelst|tüfteltet|tüftelte|getüftelt|tüftelest|tüftle|tüftlet
Tüll	Tüllen|Tülls|Tülle
Tümpel	Tümpeln|Tümpels
tünchen	tünchest|tünchst|tünchet|tünchte|tünchtet|tünch|tünchten|getüncht|tüncht|tünchend|tünchtest|tünche
Türgriff	Türgriffs|Türgriffe|Türgriffen|Türgriffes
Türkis	Türkisen|Türkise
Türkisch	Türkischen|Türkische|Türkischs
Türmchen	Türmchens
türmen	getürmt|türmt|türmest|türmten|türmet|türm|türme|türmtest|türmte|türmtet|türmend|türmst
Tüte	Tüten
Ufer	Ufern|Ufers
Uhrmacher	Uhrmachers|Uhrmachern
Uhrwerk	Uhrwerke|Uhrwerken|Uhrwerkes|Uhrwerks
Uhrzeiger	Uhrzeigers|Uhrzeigern
Uhrzeigersinn	Uhrzeigersinne|Uhrzeigersinns|Uhrzeigersinnes
Ukulele	Ukulelen
Ulk	Ulkes|Ulks|Ulke|Ulken
ulkig	ulkige|ulkigen|ulkiges|ulkiger|ulkigem
Ulme	Ulmen
umarbeiten	umarbeiteten|umarbeite|umarbeitetet|umarbeitest|umarbeitend|umarbeitete|umarbeitetest|umarbeitet|umgearbeitet
umarmen	umarme|umarmtest|umarmend|umarmest|umarmt|umarmet|umarmst|umarm|umarmten|umarmte|umarmtet
umbauen	umzubauen|umbau|umbauten|umbaue|umbaut|umbauend|umgebaut|umbaute|umbaust|umbautet|umbautest|umbauest|umbauet
umbenennen	umzubenennen|umbenannt|umbenennend
umbilden	umgebildet|umzubilden|umbildend
umbinden	umzubinden|umbindend|umgebunden
umblättern	umzublättern|umblätternd|umgeblättert
umbringen	umzubringen|umgebracht|umbringend
Umbruch	Umbrüchen|Umbruche|Umbruches|Umbrüche|Umbruchs
umdenken	umgedacht|umzudenken|umdenkend
Umdrehung	Umdrehungen
Umerziehung	Umerziehungen
umfahren	umfährt|umfahre|umführest|umfahrest|umführe|umfuhrst|umfuhrt|umfahrt|umgefahren|umfuhr|umfahrend|umführen|umführet|umzufahren|umfährst|umfahret|umfahr|umfuhren
umfallen	umfallend|umzufallen|umgefallen
Umfang	Umfängen|Umfange|Umfänge|Umfangs|Umfanges
umfangreich	umfangreiches|umfangreicher|umfangreichen|umfangreiche|umfangreichem
umfassen	umzufassen|umfasste|umgefasst|umfassend|umfassest|umfasset|umfasse|umfasstest|umfass|umfasstet|umfassten|umfasst
umfassend	umfassenden|umfassende|umfassender|umfassendem|umfassendes
Umfeld	Umfelde|Umfelds|Umfeldes|Umfelder|Umfeldern
umformen	umformend|umzuformen|umgeformt
Umfrage	Umfragen
Umgang	Umganges|Umgangs|Umgänge|Umgange|Umgängen
Umgangssprache	Umgangssprachen
umgangssprachlich	umgangssprachlicher|umgangssprachlichem|umgangssprachlichen|umgangssprachliche|umgangssprachliches
umgarnen	umgarnt|umgarn|umgarnend|umgarne|umgarntest|umgarnten|umgarntet|umgarnst|umgarnest|umgarnet|umgarnte
umgeben	umgäben|umgebest|umgibst|umgäbest|umgäbet|umgebend|umgaben|umgabst|umgabt|umgib|umgebt|umgab|umgibt|umgebe|umgebet|umgäbe
Umgebung	Umgebungen
umgehen	umgehend|umgehe|umgangen|umgehest|umgingen|umgeht|umgegangen|umginge|umgingst|umgingt|umgingest|umginget|umgehet|umgeh|umging|umgehst|umzugehen
umgänglich	umgänglicher|umgängliches|umgängliche|umgänglichen|umgänglichem
Umhang	Umhanges|Umhangs|Umhängen|Umhange|Umhänge
umhergehen	umhergegangen|umhergehend|umherzugehen
Umherziehen	Umherziehens
umherziehen	umherzuziehen|umherziehend|umhergezogen
Umhängetasche	Umhängetaschen
umhüllen	umhüllend|umhüllt|umhüllst|umhüllest|umhüllte|umhülltest|umhüllet|umhüllten|umhülle|umhüll|umhülltet
umkehren	umzukehren|umgekehrt|umkehrend
Umkehrung	Umkehrungen
umkippen	umgekippt|umzukippen|umkippend
umklammern	umklammrest|umklammerten|umklammernd|umklammerst|umklammret|umklammert|umklammre|umklammertet|umklammertest|umklammerest|umklammer|umklammeret|umklammere|umklammerte
umklappen	umgeklappt|umzuklappen|umklappend
Umlage	Umlagen
Umlauf	Umlaufes|Umläufe|Umlaufe|Umläufen
Umlaufbahn	Umlaufbahnen
umlaufen	umlaufest|umläuft|umlief|umliefen|umliefst|umliefet|umliefest|umlauf|umgelaufen|umzulaufen|umlieft|umlaufend|umliefe|umlauft|umlaufe|umlaufet|umläufst
Umlaufzeit	Umlaufzeiten
Umlaut	Umlautes|Umlauten|Umlauts|Umlaute
umlauten	umgelautet|umlautend|umzulauten
umlegen	umlegend|umgelegt|umzulegen
umleiten	umgeleitet|umzuleiten|umleitend
Umleitung	Umleitungen
umlernen	umgelernt|umlernend|umzulernen
Ummantelung	Ummantelungen
umpflanzen	umpflanzten|umpflanzest|umpflanzend|umpflanzt|umpflanzte|umpflanztet|umpflanze|umpflanz|umpflanztest|umpflanzet
umreißen	umgerissen|umriss|umreißt|umrissest|umrissen|umreiß|umrisse|umreißend|umreiße|umreißet|umreißest|umrisst|umrisset|umzureißen
umringen	umringet|umringtet|umringe|umringest|umringten|umring|umringte|umringtest|umringend|umringt|umringst
umrühren	umrührend|umgerührt|umzurühren
umrüsten	umgerüstet|umzurüsten|umrüstend
umsatteln	umgesattelt|umsattelnd|umzusatteln
Umsatz	Umsatzes|Umsätzen|Umsätze|Umsatze
umschalten	umzuschalten|umgeschaltet|umschaltend
Umschalttaste	Umschalttasten
umschauen	umgeschaut|umschauend|umzuschauen
umschiffen	umschiffet|umschifften|umschiffest|umschifft|umschifftet|umschiffe|umschiffst|umschiffend|umschifftest|umschiffte|umschiff
Umschlag	Umschlages|Umschläge|Umschlage|Umschlags|Umschlägen
umschlagen	umzuschlagen|umgeschlagen|umschlagend
umschließen	umschließend|umschlossen
umschlingen	umschlänge|umschlungen|umschlingt|umschlinget|umschlangt|umschlänget|umschlingend|umschlangst|umschlingest|umschling|umschlinge|umschlang|umschlängest|umschlangen|umschlängen|umschlingst
Umschlingung	Umschlingungen
umschmelzen	umgeschmolzen|umschmolz|umschmelzend|umschmelzest|umschmolzen|umschmelzt|umschmölze|umschmelzet|umschmolzt|umschmölzet|umschmölzest|umschmilz|umschmilzt|umschmölzen|umschmelze
umschreiben	umschreibest|umschrieben|umschreibst|umschreibet|umschreib|umschriebt|umschriebest|umschreibend|umschreibt|umzuschreiben|umschriebe|umschriebet|umschrieb|umschriebst|umgeschrieben|umschreibe
Umschreibung	Umschreibungen
Umschrift	Umschriften
umschulen	umschulend|umgeschult|umzuschulen
Umschulung	Umschulungen
Umschweif	Umschweifen|Umschweifs|Umschweifes|Umschweife
umschütten	umzuschütten|umgeschüttet|umschüttend
umsehen	umzusehen|umsehend|umgesehen
Umsetzen	Umsetzens
umsetzen	umsetzend|umgesetzt|umzusetzen
Umsetzung	Umsetzungen
umsichtig	umsichtige|umsichtigem|umsichtiges|umsichtigen|umsichtiger
umsiedeln	umsiedelnd|umzusiedeln|umgesiedelt
Umstand	Umstandes|Umstände|Umstands|Umständen|Umstande
Umstandskrämer	Umstandskrämers|Umstandskrämern
Umstandswort	Umstandswörter|Umstandswörtern|Umstandswortes|Umstandsworte
umsteigen	umsteigend|umgestiegen|umzusteigen
Umstellen	Umstellens
umstellen	umstell|umgestellt|umstelle|umstellte|umstelltet|umstellend|umstellten|umstellst|umstellet|umstelltest|umzustellen|umstellt|umstellest
umstoßen	umzustoßen|umstoßend|umgestoßen
umstritten	umstrittener|umstrittenen|umstrittene|umstrittenem|umstrittenes
Umsturz	Umstürze|Umstürzen|Umsturzes|Umsturze
umständlich	umständlichem|umständliche|umständlichen|umständliches|umständlicher
umstürzen	umstürzend|umgestürzt|umzustürzen
umtaufen	umzutaufen|umtaufend|umgetauft
umtauschen	umgetauscht|umtauschend|umzutauschen
umwandeln	umzuwandeln|umwandelnd|umgewandelt
Umwandlung	Umwandlungen
Umwelt	Umwelten
umweltfreundlich	umweltfreundliches|umweltfreundlichen|umweltfreundlichem|umweltfreundliche|umweltfreundlicher
Umweltminister	Umweltministern|Umweltministers
Umweltschutz	Umweltschutze|Umweltschutzes
umwenden	umgewendet|umgewandt|umzuwenden|umwendend
umwerfen	umzuwerfen|umwerfend|umgeworfen
umwälzen	umgewälzt|umzuwälzen|umwälzend
Umwälzung	Umwälzungen
Umzingelung	Umzingelungen
Umzug	Umzugs|Umzüge|Umzuge|Umzügen|Umzuges
umzäunen	umzäunten|umzäunest|umzäun|umzäunend|umzäunte|umzäunst|umzäune|umzäuntet|umzäunet|umzäunt|umzäuntest
umändern	umzuändern|umgeändert|umändernd
unabhängig	unabhängige|unabhängiges|unabhängigen|unabhängigem|unabhängiger
Unabhängigkeit	Unabhängigkeiten
unabsichtlich	unabsichtliche|unabsichtlichem|unabsichtliches|unabsichtlichen|unabsichtlicher
unachtsam	unachtsame|unachtsamer|unachtsamem|unachtsamen|unachtsames
Unachtsamkeit	Unachtsamkeiten
unangebracht	unangebrachten|unangebrachtem|unangebrachtes|unangebrachter|unangebrachte
unangemessen	unangemessenem|unangemessenen|unangemessenes|unangemessene|unangemessener
unangenehm	unangenehmes|unangenehmem|unangenehme|unangenehmer|unangenehmen
Unannehmlichkeit	Unannehmlichkeiten
unanständig	unanständigem|unanständiger|unanständige|unanständiges|unanständigen
unappetitlich	unappetitlichem|unappetitliche|unappetitlichen|unappetitlicher|unappetitliches
unartig	unartigem|unartiges|unartigen|unartige|unartiger
unattraktiv	unattraktiven|unattraktives|unattraktiver|unattraktive|unattraktivem
unauffällig	unauffälliger|unauffälliges|unauffälligem|unauffällige|unauffälligen
unaufgeklärt	unaufgeklärten|unaufgeklärtem|unaufgeklärter|unaufgeklärte|unaufgeklärtes
unaufmerksam	unaufmerksamen|unaufmerksame|unaufmerksamem|unaufmerksamer|unaufmerksames
Unaufmerksamkeit	Unaufmerksamkeiten
unaufrichtig	unaufrichtigem|unaufrichtiges|unaufrichtiger|unaufrichtigen|unaufrichtige
unausführbar	unausführbarem|unausführbarer|unausführbare|unausführbaren|unausführbares
unaussprechlich	unaussprechlichen|unaussprechliches|unaussprechlicher|unaussprechliche|unaussprechlichem
unausstehlich	unausstehlicher|unausstehlichem|unausstehliches|unausstehliche|unausstehlichen
unbarmherzig	unbarmherziges|unbarmherziger|unbarmherzigem|unbarmherzigen|unbarmherzige
unbedarft	unbedarfter|unbedarfte|unbedarftes|unbedarftem|unbedarften
unbedenklich	unbedenkliche|unbedenkliches|unbedenklicher|unbedenklichem|unbedenklichen
unbedeutend	unbedeutenden|unbedeutendes|unbedeutende|unbedeutendem|unbedeutender
unbefangen	unbefangenen|unbefangenes|unbefangener|unbefangene|unbefangenem
unbefriedigend	unbefriedigendem|unbefriedigenden|unbefriedigende|unbefriedigender|unbefriedigendes
unbegreiflich	unbegreiflichem|unbegreiflichen|unbegreifliche|unbegreiflicher|unbegreifliches
unbegründet	unbegründeter|unbegründete|unbegründetes|unbegründeten|unbegründetem
unbehaart	unbehaartem|unbehaartes|unbehaarten|unbehaarter|unbehaarte
Unbehagen	Unbehagens
unbehaglich	unbehagliche|unbehaglicher|unbehaglichem|unbehaglichen|unbehagliches
unbeherrscht	unbeherrschtes|unbeherrschten|unbeherrschter|unbeherrschtem|unbeherrschte
Unbeherrschtheit	Unbeherrschtheiten
unbeholfen	unbeholfener|unbeholfene|unbeholfenen|unbeholfenem|unbeholfenes
Unbeholfenheit	Unbeholfenheiten
unbeirrbar	unbeirrbarer|unbeirrbares|unbeirrbare|unbeirrbaren|unbeirrbarem
unbeirrt	unbeirrten|unbeirrte|unbeirrter|unbeirrtem|unbeirrtes
unbekannt	unbekanntem|unbekannte|unbekanntes|unbekannter|unbekannten
unbekümmert	unbekümmerten|unbekümmerte|unbekümmerter|unbekümmertem|unbekümmertes
Unbekümmertheit	Unbekümmertheiten
unbelebt	unbelebtem|unbelebten|unbelebtes|unbelebte|unbelebter
unbequem	unbequemem|unbequemer|unbequemes|unbequeme|unbequemen
unberechenbar	unberechenbarem|unberechenbarer|unberechenbaren|unberechenbare|unberechenbares
unberechtigt	unberechtigtem|unberechtigten|unberechtigter|unberechtigte|unberechtigtes
unberührt	unberührtem|unberührtes|unberührter|unberührten|unberührte
unbeschwert	unbeschwerten|unbeschwertes|unbeschwerter|unbeschwerte|unbeschwertem
unbestreitbar	unbestreitbares|unbestreitbare|unbestreitbarem|unbestreitbaren|unbestreitbarer
unbeständig	unbeständigen|unbeständigem|unbeständiger|unbeständiges|unbeständige
Unbeständigkeit	Unbeständigkeiten
unbeteiligt	unbeteiligten|unbeteiligte|unbeteiligtes|unbeteiligter|unbeteiligtem
unbeugsam	unbeugsamer|unbeugsamem|unbeugsame|unbeugsames|unbeugsamen
unbewohnbar	unbewohnbarem|unbewohnbaren|unbewohnbarer|unbewohnbares|unbewohnbare
unbändig	unbändigen|unbändiger|unbändiges|unbändige|unbändigem
unchristlich	unchristlicher|unchristlichen|unchristlichem|unchristliches|unchristliche
undefinierbar	undefinierbarem|undefinierbare|undefinierbaren|undefinierbares|undefinierbarer
undenkbar	undenkbarer
undeutlich	undeutlichen|undeutliche|undeutlicher|undeutliches|undeutlichem
Unding	Undingen|Undings|Undinge|Undinges
undurchlässig	undurchlässiger|undurchlässigem|undurchlässiges|undurchlässige|undurchlässigen
Undurchsichtigkeit	Undurchsichtigkeiten
uneben	unebener|unebenen|unebenem|unebene|unebenes
Unebenheit	Unebenheiten
unecht	unechten|unechtem|unechte|unechter|unechtes
unedel	unedeles|unedler|unedeler|unedelem|unedelen|unedele
Unehre	Unehren
unehrlich	unehrlicher|unehrlichem|unehrliche|unehrlichen|unehrliches
uneigennützig	uneigennützigem|uneigennützige|uneigennütziger|uneigennütziges|uneigennützigen
Uneinigkeit	Uneinigkeiten
unempfindlich	unempfindliches|unempfindlicher|unempfindliche|unempfindlichem|unempfindlichen
unentbehrlich	unentbehrlichen|unentbehrlichem|unentbehrlicher|unentbehrliches|unentbehrliche
unentgeltlich	unentgeltliches|unentgeltlicher|unentgeltlichem|unentgeltliche|unentgeltlichen
unentwegt	unentwegte|unentwegtem|unentwegter|unentwegten|unentwegtes
unerforscht	unerforschter|unerforschten|unerforschtem|unerforschte|unerforschtes
unerfreulich	unerfreuliche|unerfreulichem|unerfreulichen|unerfreulicher|unerfreuliches
unergiebig	unergiebigem|unergiebiger|unergiebigen|unergiebiges|unergiebige
unergründlich	unergründliche|unergründlichem|unergründlicher|unergründliches|unergründlichen
unerheblich	unerheblichen|unerhebliches|unerheblichem|unerhebliche|unerheblicher
unerlaubt	unerlaubte|unerlaubten|unerlaubter|unerlaubtem|unerlaubtes
unermüdlich	unermüdlichem|unermüdlichen|unermüdlicher|unermüdliches|unermüdliche
unerquicklich	unerquicklicher|unerquicklichen|unerquickliche|unerquickliches|unerquicklichem
unerreichbar	unerreichbarer|unerreichbarem|unerreichbares|unerreichbaren|unerreichbare
unerschrocken	unerschrockenem|unerschrockene|unerschrockenen|unerschrockener|unerschrockenes
unerschwinglich	unerschwinglichem|unerschwinglicher|unerschwingliches|unerschwinglichen|unerschwingliche
unerschöpflich	unerschöpflichen|unerschöpfliche|unerschöpflicher|unerschöpfliches|unerschöpflichem
unerschütterlich	unerschütterlichen|unerschütterliches|unerschütterliche|unerschütterlicher|unerschütterlichem
unersetzlich	unersetzliche|unersetzlicher|unersetzlichem|unersetzliches|unersetzlichen
unersättlich	unersättlichem|unersättlicher|unersättliche|unersättlichen|unersättliches
Unersättlichkeit	Unersättlichkeiten
unerwartet	unerwarteten|unerwartetem|unerwartete|unerwartetes|unerwarteter
unerwünscht	unerwünschte|unerwünschtem|unerwünschtes|unerwünschter|unerwünschten
unfair	unfairer|unfaires|unfaire|unfairem|unfairen
Unfall	Unfälle|Unfalle|Unfalles|Unfalls|Unfällen
unfrei	unfreier|unfreien|unfreies|unfreie|unfreiem
unfreiwillig	unfreiwilligem|unfreiwilliger|unfreiwillige|unfreiwilliges|unfreiwilligen
unfreundlich	unfreundlicher|unfreundlichen|unfreundlichem|unfreundliches|unfreundliche
Unfreundlichkeit	Unfreundlichkeiten
Unfug	Unfuges|Unfugs|Unfuge
unfähig	unfähigen|unfähige|unfähigem|unfähiges|unfähiger
Unfähigkeit	Unfähigkeiten
ungangbar	ungangbaren|ungangbarer|ungangbares|ungangbarem|ungangbare
ungebildet	ungebildeten|ungebildeter|ungebildetes|ungebildete|ungebildetem
ungebrochen	ungebrochenen|ungebrochener|ungebrochene|ungebrochenes|ungebrochenem
ungebräuchlich	ungebräuchlichen|ungebräuchlicher|ungebräuchlichem|ungebräuchliches|ungebräuchliche
ungeeignet	ungeeignete|ungeeignetes|ungeeignetem|ungeeigneter|ungeeigneten
ungefährlich	ungefährliche|ungefährlichen|ungefährlichem|ungefährliches|ungefährlicher
ungehalten	ungehaltenes|ungehaltene|ungehaltener|ungehaltenem|ungehaltenen
ungehemmt	ungehemmten|ungehemmter|ungehemmtes|ungehemmtem|ungehemmte
Ungeheuer	Ungeheuers|Ungeheuern
ungeheuer	ungeheure|ungeheuren|ungeheures|ungeheurem|ungeheurer
ungehindert	ungehinderten|ungehinderte|ungehindertem|ungehindertes|ungehinderter
ungehobelt	ungehobelter|ungehobelten|ungehobeltes|ungehobeltem|ungehobelte
ungehorsam	ungehorsamer|ungehorsame|ungehorsamem|ungehorsames|ungehorsamen
ungehörig	ungehörigem|ungehöriger|ungehörigen|ungehörige|ungehöriges
ungelenk	ungelenker|ungelenkes|ungelenkem|ungelenken|ungelenke
ungenau	ungenaues|ungenauen|ungenauem|ungenauer|ungenaue
Ungenauigkeit	Ungenauigkeiten
ungenießbar	ungenießbarem|ungenießbaren|ungenießbare|ungenießbares|ungenießbarer
ungenügend	ungenügender|ungenügendem|ungenügenden|ungenügendes|ungenügende
ungeordnet	ungeordnetes|ungeordnetem|ungeordnete|ungeordneten|ungeordneter
ungepflegt	ungepflegte|ungepflegtem|ungepflegter|ungepflegten|ungepflegtes
ungerecht	ungerechten|ungerechtem|ungerechte|ungerechtes|ungerechter
ungerechtfertigt	ungerechtfertigter|ungerechtfertigten|ungerechtfertigtes|ungerechtfertigte|ungerechtfertigtem
Ungerechtigkeit	Ungerechtigkeiten
ungereimt	ungereimte|ungereimtes|ungereimten|ungereimter|ungereimtem
Ungereimtheit	Ungereimtheiten
ungerührt	ungerührte|ungerührtem|ungerührtes|ungerührter|ungerührten
Ungeschicklichkeit	Ungeschicklichkeiten
ungeschickt	ungeschickter|ungeschickte|ungeschicktes|ungeschickten|ungeschicktem
ungeschlacht	ungeschlachtem|ungeschlachten|ungeschlachte|ungeschlachtes|ungeschlachter
ungeschoren	ungeschorenem|ungeschorener|ungeschorenes|ungeschorenen|ungeschorene
ungeschützt	ungeschützte|ungeschützten|ungeschütztem|ungeschützter|ungeschütztes
ungesetzlich	ungesetzliche|ungesetzliches|ungesetzlichem|ungesetzlicher|ungesetzlichen
ungestört	ungestörtes|ungestörte|ungestörter|ungestörten|ungestörtem
Ungestüm	Ungestüms|Ungestümes|Ungestüme
ungestüm	ungestümen|ungestüme|ungestümer|ungestümem|ungestümes
ungesund	ungesünder|ungesunden|ungesundes|ungesunder|ungesundem|ungesunde
Ungetüm	Ungetüme|Ungetümen|Ungetüms
ungewohnt	ungewohntem|ungewohntes|ungewohnten|ungewohnter|ungewohnte
ungewollt	ungewolltem|ungewollter|ungewolltes|ungewollten|ungewollte
ungewöhnlich	ungewöhnlicher
Ungeziefer	Ungeziefern|Ungeziefers
ungezogen	ungezogenen|ungezogener|ungezogenes|ungezogene|ungezogenem
ungeübt	ungeübter|ungeübten|ungeübtes|ungeübte|ungeübtem
unglaublich	unglaublichen|unglaubliche|unglaublicher|unglaublichem|unglaubliches
unglaubwürdig	unglaubwürdiges|unglaubwürdigem|unglaubwürdiger|unglaubwürdigen|unglaubwürdige
ungläubig	ungläubigem|ungläubiges|ungläubigen|ungläubiger|ungläubige
Unglück	Unglücks|Unglücke|Unglücken|Unglückes
unglücklich	unglücklicher|unglückliche|unglücklichem|unglückliches|unglücklichen
ungnädig	ungnädiger|ungnädigem|ungnädiges|ungnädige|ungnädigen
